Citizenship,Stream,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bosnia-Herzegovina,Skill,20,19,14,15,14,15,6,25,17,12,11,22,18,19,22,9
Botswana,Skill,4,2,0,2,0,8,17,5,12,16,18,36,33,50,28,62
Brazil,Skill,46,23,45,48,81,113,103,127,212,274,320,437,528,722,506,604
British Indian Ocean Terr,Skill,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
British West Indies (stated),Skill,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brunei Darussallam,Skill,4,9,9,12,32,20,38,54,30,48,32,30,19,24,19,23
Bulgaria,Skill,54,77,74,91,71,59,43,64,51,49,45,49,42,29,38,54
Burkina Faso,Skill,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0
Burundi,Skill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cambodia, the Kingdom of",Skill,3,1,11,3,19,11,9,24,44,47,52,33,44,46,54,53
Cameroon,Skill,0,3,0,3,0,0,4,4,2,6,3,9,10,2,2,1
Canada,Skill,677,556,371,341,440,468,481,550,588,692,655,790,832,965,837,1101
Cape Verde,Skill,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,Skill,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Central African Republic,Skill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Central America (so stated),Skill,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Skill,72,48,106,39,37,15,20,22,64,42,58,54,97,103,102,123
Colombia,Skill,26,22,20,24,68,84,143,203,196,193,184,268,274,436,423,575
Comoros,Skill,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Congo,Skill,0,0,0,0,0,0,0,0,0,5,1,0,8,5,2,4
Cook Islands,Skill,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Costa Rica,Skill,0,1,0,0,4,2,1,0,3,1,1,6,0,2,1,5
Cote d'Ivoire,Skill,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
Croatia,Skill,48,40,24,7,37,33,20,24,7,17,18,33,42,28,23,25
Cuba,Skill,4,0,4,8,1,2,0,3,1,3,9,13,11,7,6,15
Cyprus,Skill,5,19,21,8,9,7,11,10,2,5,9,2,5,5,1,3
Czech Republic,Skill,10,15,18,16,27,50,39,62,68,102,89,90,82,55,88,99
Czechoslovakia,Skill,2,5,4,1,2,0,2,2,2,3,3,1,0,0,0,1
Dem Republic Of Timor-Leste,Skill,0,0,0,0,0,2,0,2,1,1,4,1,6,4,1,0
Democratic Republic of Congo,Skill,1,0,0,0,0,0,0,0,0,1,0,0,1,4,2,3
Denmark,Skill,98,45,28,38,82,111,74,73,83,82,66,107,92,56,62,70
Djibouti,Skill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Dominica,Skill,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Dominican Republic,Skill,2,0,0,0,0,1,1,0,0,1,2,2,4,0,3,2
Ecuador,Skill,13,4,2,0,0,12,7,0,8,9,4,9,23,8,16,10
"Egypt, Arab Republic of",Skill,168,80,121,129,75,81,189,257,275,368,322,486,579,733,389,780
El Salvador,Skill,0,2,4,4,0,5,1,2,4,2,13,24,16,30,9,4
Equatorial Guinea,Skill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eritrea,Skill,0,4,0,0,0,12,0,8,0,5,4,8,13,4,0,11
Estonia,Skill,4,0,1,5,5,9,9,4,5,7,15,14,15,36,25,32
Ethiopia,Skill,6,7,6,1,7,14,14,22,2,21,15,18,36,16,38,27
Europe (so stated),Skill,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faeroe Islands,Skill,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fed. States of Micronesia,Skill,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fiji,Skill,731,784,782,795,1214,853,1038,884,858,977,739,871,809,553,688,676
Finland,Skill,28,24,6,6,43,20,22,26,40,46,61,58,58,55,67,78
Fmr Yugo Rep of Macedonia,Skill,113,149,133,59,108,109,84,72,35,42,25,48,30,44,30,60
France,Skill,220,148,156,156,202,242,342,329,355,372,368,496,554,623,764,883
French Polynesia,Skill,0,0,6,0,1,0,1,2,0,3,2,0,0,0,0,0
Gabon,Skill,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Gambia,Skill,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Gaza Strip,Skill,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Georgia,Skill,11,7,3,14,7,2,3,1,5,2,10,3,7,9,0,5
"Germany, Federal Rep. Of",Skill,471,388,416,475,528,654,641,614,737,840,885,997,1228,1227,1146,1148
Ghana,Skill,31,21,13,20,25,28,34,25,29,48,41,51,74,81,80,78
Greece,Skill,27,32,17,3,24,32,22,20,29,34,24,30,35,26,14,39
Grenada,Skill,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2
Guatemala,Skill,1,1,0,0,0,4,1,1,1,2,1,6,9,4,6,3
Guinea,Skill,0,0,1,0,1,0,0,3,0,0,0,2,0,1,1,6
Guyana,Skill,2,0,0,0,1,1,0,0,5,2,1,0,3,0,1,3
Honduras,Skill,3,1,5,0,0,-1,3,0,1,0,1,5,0,1,1,0
Hong Kong (SAR of China),Skill,2830,2816,1473,955,1106,916,1364,1532,1904,1939,1515,1314,918,499,631,471
Hungary,Skill,44,18,24,23,50,30,52,70,75,77,126,133,176,211,186,275
Iceland,Skill,2,0,1,1,5,1,1,1,1,7,6,6,9,1,4,8
India,Skill,2098,2164,2274,4068,4675,6056,8203,9237,9820,14027,15865,19281,20105,18042,17331,23512
Indo-China (so stated),Skill,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Skill,1272,1630,2274,2759,3836,4410,3147,2544,1938,1650,1473,1811,1425,982,1621,1240
Iran,Skill,193,174,114,209,204,150,217,161,265,367,453,647,1711,1640,1813,2774
Iraq,Skill,60,31,29,28,44,12,36,55,54,41,30,46,136,121,110,99
Irish Republic,Skill,719,682,633,562,521,601,741,851,1000,1194,1270,1389,1799,2219,2934,4109
Israel,Skill,69,96,75,75,106,203,251,441,408,349,314,363,350,396,292,282
